Calculated_Sales,Is Duplicate Row?,Order_ID,Customer_ID,Customer_Name,Email,Country,City,Order_Date,Ship_Date,Product_Category,Quantity,Unit_Price,Unit_Price_Fixed,Discount,Sales,Age,Customer_Segment,Satisfaction_Score,Payment_Method,Notes
0,Unique,O1070,C034,PETER SCHMIDT,peter.schmidt@example.com,Italy,Rome,08-04-2026,2026-04-10,Office Supplies,0,74.93,74.93,0.15,0,48,HOME OFFICE,,Unknown,check address
2635.92,Unique,O1095,C022,John Doe,john.doe@example.com,España,Madrid,14-05-2026,21.05.2026,office supplies,8,366.1,366.1,0.1,2635.92,57,CORPORATE,,PAYPAL,check address
1597.52,Unique,O1072,C052,Emma Wilson,,GERMANY,Heidelberg,15-03-2026,16.03.2026,Electronics,4,420.4,420.4,0.05,1597.52,22,CONSUMER,2,Cash,ok
165.566,Unique,O1046,C022,Anna Müller,anna.muller@example.com,France,,02-06-2026,2026-02-15,Electronics,1,174.28,174.28,0.05,165.57,39,HOME OFFICE,5,credit card,check address
2670.496,Unique,O1038,C035,Ali Reza,ali.reza@example.com,Netherlands,Rotterdam,16-05-2026,24/05/2026,Office Supplies,8,392.72,392.72,0.15,2670.5,20,CONSUMER,,Cash,check address
1108.188,Unique,O1055,C007,Anna Müller,anna.muller@example.com,Italy,Milan,01-02-2026,05/02/2026,Office Supplies,3,410.44,410.44,0.1,1108.19,,CONSUMER,1,Credit Card,
37999.962,Unique,O1017,C051,Maha Zadeh,maha.zadeh@example.com,Italy,Milan,22-01-2026,2026/01/26,office supplies,4,9999.99,9999.99,0.05,37999.96,46,CORPORATE,4,Cash,missing phone
2925.792,Unique,O1087,C045,Nina Weber,nina.weber@example.com,GERMANY,Heidelberg,22-04-2026,2026/05/02,ELECTRONICS,9,406.36,406.36,0.2,2925.79,46,UNKNOWN,,bank transfer,
829.872,Unique,O1086,C012,Anna Müller,anna.muller@example.com,GERMANY,karlsruhe,15-05-2026,17/05/2026,Electronics,6,172.89,172.89,0.2,829.87,31,CONSUMER,,Cash,missing phone
233.36,Unique,O1092,C012,Ali Reza,ali.reza@example.com,France,Lyon,,2026/03/26,furniture,5,58.34,58.34,0.2,233.36,50,UNKNOWN,1,credit card,return risk
0,Unique,O1007,C034,Nina Weber,nina.weber@example.com,España,Madrid,27-02-2026,2026-02-28,home,0,34.02,34.02,0,0,71,CORPORATE,3,PAYPAL,check address
1299.375,Unique,O1078,C005,nina weber,nina.weber@example.com,GERMANY,Karlsruhe,17-01-2026,2026-01-25,Home,5,346.5,346.5,0.25,1299.38,42,CONSUMER,4,bank transfer,missing phone
135.108,Unique,O1027,C029,John Doe,john.doe@example.com,France,paris,,2026-01-18,office supplies,2,75.06,75.06,0.1,135.11,21,CORPORATE,4,Unknown,check address
2526.795,Unique,O1094,C037,Maha Zadeh,maha.zadeh@example.com,Italy,Rome,,2026-04-18,furniture,9,"311,95",311.95,0.1,2526.79,41,CORPORATE,,credit card,
9499.9905,Unique,O1012,C019,John Doe,john.doe@example.com,España,Valencia,29-03-2026,2026/04/01,ELECTRONICS,1,"9999,99",9999.99,0.05,9499.99,56,HOME OFFICE,4,Credit Card,
1692.824,Unique,O1068,C005,Anna Müller,,France,Lyon,21-05-2026,2026/05/25,Home,7,254.56,254.56,0.05,1692.82,28,CORPORATE,1,PayPal,return risk
224.56,Unique,O1047,C027,Laura Rossi,laura.rossi@example.com,France,Paris,12-05-2026,13.05.2026,Office Supplies,10,28.07,28.07,0.2,224.56,,CONSUMER,3,Credit Card,urgent
1000.54,Unique,O1040,C024,John Doe,john.doe@example.com,Italy,Rome,19-05-2026,25/05/2026,Office Supplies,8,131.65,131.65,0.05,1000.54,44,CONSUMER,3,Cash,missing phone
527.76,Unique,O1010,C004,Tom Brown,tom.brown@example.com,España,Barcelona,17-02-2026,2026-02-18,furniture,2,263.88,263.88,0,527.76,42,CORPORATE,3,PayPal,ok
123.216,Unique,O1044,C030,Nina Weber,nina.weber@example.com,France,Lyon,,01-30-2026,electronics,3,48.32,48.32,0.15,123.22,22,CORPORATE,2,bank transfer,urgent
371.322,Unique,O1008,C043,Julia Fischer,julia.fischer@example.com,France,Lyon,16-04-2026,2026-04-23,Home,2,206.29,206.29,0.1,371.32,45,UNKNOWN,4,Credit Card,missing phone
3045.762,Unique,O1026,C008,MEHDI KARIMI,mehdi.karimi@example.com,Italy,Milan,17-02-2026,20.02.2026,ELECTRONICS,9,376.02,376.02,0.1,3045.76,27,HOME OFFICE,2,Unknown,missing phone
2482.2,Unique,O1022,C054,JULIA FISCHER,julia.fischer@example.com,GERMANY,Karlsruhe,03-03-2026,2026-03-05,home,12,€275.80,275.8,0.25,2482.2,23,HOME OFFICE,3,Cash,urgent
184.2,Unique,O1069,C021,tom brown,tom.brown@example.com,GERMANY,Heidelberg,18-03-2026,2026/03/27,home,12,15.35,15.35,0,184.2,42,HOME OFFICE,,PAYPAL,urgent
1291.08,Unique,O1043,C007,Anna Müller,anna.muller@example.com,España,Madrid,24-04-2026,04-25-2026,Home,5,322.77,322.77,0.2,1291.08,49,HOME OFFICE,4,PAYPAL,missing phone
2209.422,Unique,O1036,C017,carlos garcia,carlos.garcia@example.com,España,Madrid,03-01-2026,2026/01/10,furniture,6,433.22,433.22,0.15,2209.42,70,CONSUMER,4,Cash,urgent
0,Unique,O1035,C019,TOM BROWN,tom.brown@example.com,GERMANY,Mannheim,22-04-2026,23.04.2026,home,0,€137.67,137.67,0.05,0,31,HOME OFFICE,2,PAYPAL,return risk
251.016,Unique,O1025,C006,MARIE DUBOIS,marie.dubois@example.com,GERMANY,Mannheim,06-05-2026,14.05.2026,furniture,1,313.77,313.77,0.2,251.02,39,CORPORATE,4,Bank Transfer,return risk
932.715,Unique,O1088,C046,Anna Müller,,Netherlands,Amsterdam,20-01-2026,2026/01/24,home,7,177.66,177.66,0.25,932.71,62,UNKNOWN,3,Cash,urgent
134.5,Unique,O1090,C029,JOHN DOE,john.doe@example.com,España,Barcelona,15-04-2026,2026-04-16,furniture,10,13.45,13.45,0,134.5,62,CORPORATE,2,Bank Transfer,ok
444.448,Unique,O1048,C046,Carlos Garcia,carlos.garcia@example.com,GERMANY,Mannheim,04-01-2026,2026-04-02,electronics,2,261.44,261.44,0.15,444.45,130,CORPORATE,2,credit card,urgent
1828.86,Unique,O1029,C010,NINA WEBER,nina.weber@example.com,Netherlands,Rotterdam,06-02-2026,07/02/2026,Office Supplies,10,€215.16,215.16,0.15,1828.86,76,HOME OFFICE,4,Bank Transfer,return risk
1064.455,Unique,O1059,C013,Luca Bianchi,luca.bianchi@example.com,France,Paris,13-01-2026,01-23-2026,home,7,178.9,178.9,0.15,1064.45,60,UNKNOWN,5,PayPal,return risk
0,Unique,O1056,C051,Ali Reza,ali.reza@example.com,GERMANY,Heidelberg,15-03-2026,not available,home,0,€74.09,74.09,0.2,0,49,CORPORATE,2,credit card,return risk
2154.258,Unique,O1063,C024,mehdi karimi,mehdi.karimi@example.com,España,Madrid,03-02-2026,2026-02-12,home,12,188.97,188.97,0.05,2154.26,36,CONSUMER,,PayPal,check address
1800.918,Unique,O1002,C025,Sara Smith,sara.smith@example.com,GERMANY,karlsruhe,30-03-2026,2026-04-08,electronics,7,285.86,285.86,0.1,1800.92,52,CORPORATE,,Bank Transfer,ok
154.611,Unique,O1023,C054,Nina Weber,nina.weber@example.com,Italy,Rome,19-03-2026,2026-03-29,ELECTRONICS,1,171.79,171.79,0.1,154.61,16,CORPORATE,1,PayPal,return risk
342.486,Unique,O1067,C032,Carlos Garcia,carlos.garcia@example.com,GERMANY,Karlsruhe,04-11-2026,19/04/2026,Office Supplies,1,380.54,380.54,0.1,342.49,,CONSUMER,1,Cash,return risk
782.64,Unique,O1005,C018,Maha Zadeh,maha.zadeh@example.com,Italy,Naples,,02/02/2026,Electronics,12,86.96,86.96,0.25,782.64,35,HOME OFFICE,2,bank transfer,check address
1985.28,Unique,O1009,C032,John Doe,john.doe@example.com,España,Madrid,,13.04.2026,Office Supplies,8,330.88,330.88,0.25,1985.28,61,CONSUMER,2,Credit Card,missing phone
1448.384,Unique,O1074,C019,Julia Fischer,julia.fischer@example.com,Netherlands,,18-03-2026,2026-03-27,Electronics,8,226.31,226.31,0.2,1448.38,45,HOME OFFICE,3,bank transfer,ok
906.25,Unique,O1052,C055,John Doe,john.doe@example.com,Italy,Rome,08-02-2026,2026/02/13,Home,5,181.25,181.25,0,906.25,35,CONSUMER,3,Cash,missing phone
668.049,Unique,O1021,C042,Emma Wilson,emma.wilson@example.com,France,Lyon,29-04-2026,05-01-2026,electronics,6,130.99,130.99,0.15,668.05,32,UNKNOWN,,Credit Card,missing phone
